author,created_utc,body,score
user2,1624247274,"Our stores are now open💚
While you sip on your favourite brew, #WePromise to continue following Global Safety &amp; Sanitation protocols and deliver the Signature Starbucks experience.

#StaySafeWithStarbucks
 
*Store timings are subject to applicable government regulations. https://t.co/H31cqNITo0",12
user4,1624253853,"Flat White at Starbucks, Powai @Starbucks @StarbucksIndia.
CC @ennwhee 😊. https://t.co/qZFrvHTcTP",4
user2,1624260600,"Taking the colours of diversity wherever we go 🌈 
Let's raise our Starbucks cups to celebrate love 💚 https://t.co/l4NKKsTqzn",24
user2,1624267800,"Brighten up your day with Starbucks Essentials on @TATACLiQLuxury✨
Choose your favourites from our signature range of mugs, cold cups, tumblers, brewing equipment, and many more!
Visit the Starbucks brand store on  https://t.co/YwKM2dSjgY and get them delivered to your doorstep. https://t.co/ybfrTU49nR",14
user5,1624274899,"If $beefs are best preserved in vacuumed sealed bags, and space is a vacuum, if we send #beefs to space won’t it be as tasty in 500 years as it is the day we send it to space? 
@BeefSupreme1776 @elonmusk @Starbucks @fuddruckers @CarlsJr @MountainDew #doge #DogeFather #Dogecoins",14
user6,1624280992,"Starbucks launching UK version of famous ‘pink drink’ this summer - key dates
https://t.co/Tlkte2myLr",4
user7,1624281520,First day at starbucks do i put the nb flag on my nametag out the gate or naw. I left room for it but im not sure if im ready to go full gay about it https://t.co/noIVbLD3TK,70
user6,1624289340,"Starbucks launching UK version of famous ‘pink drink’ this summer - key dates
https://t.co/Tlkte2E9CZ",2
user7,1624294005,"Working at starbucks was pretty cool.  Everyone was really nice and queer, felt like i could just be myself without worry and it was awesome",50
user6,1624294026,"Starbucks launching UK version of famous ‘pink drink’ this summer - key dates
https://t.co/Tlkte2myLr",3
user5,1624306493,What does @fuddruckers @Starbucks @HnRblockR @oscarmayer @elonmusk @Tesla @stoolpresidente @Arbys @FoxNews @FoxBusiness @BeefSupreme1776 $beefs @Oprah @justinbieber @CarlsJr @MountainDew @ladygaga all have in common? They all part of the $beefs movement. $BEEFS,4
user6,1624325400,"Starbucks launching UK version of famous ‘pink drink’ this summer - key dates
https://t.co/Tlkte2myLr",4
user6,1624336200,"Starbucks launching UK version of famous ‘pink drink’ this summer - key dates
https://t.co/Tlkte2E9CZ",1
user8,1624339968,"Healing with matcha☀️
.
#starbucks https://t.co/ZwFEhdqmOn",440
user4,1624341298,"Salted Caramel Cold Brew at Starbucks, Powai @Starbucks @StarbucksIndia.
CC @ennwhee 😊. https://t.co/GNVSFWk5dz",3
